Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
11112022,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
12112022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
13112022,Reba,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,.,.,.,.,.,.,.,.,.,.
14112022,Reba,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Tengara,Striped dwarf catfish,.,.,.,.,.,.,.,.
15112022,Common carp,Bata,Kalmansh,Catla,Rohu,Olive barb/Barb,Sauri,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.,.,.,.
16112022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,Zig-zag eel,Needle fish,Rupchanda/Pacu,.,.
17112022,Reba,Silver carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mangur,Pangas/ Silan,Patasi,Striped dwarf catfish,Rita,Boyali/boyari,Suiya,Indian spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.,.,.
18112022,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,.,.,.,.,.,.,.
19112022,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,.,.,.,.,.,.,.
20112022,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
21112022,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
22112022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
23112022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,Zig-zag eel,Needle fish,Rupchanda/Pacu,.,.
24112022,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
25112022,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
26112022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
27112022,Reba,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,.,.,.,.,.,.,.,.,.,.
28112022,Reba,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Tengara,Striped dwarf catfish,.,.,.,.,.,.,.,.
29112022,Common carp,Bata,Kalmansh,Catla,Rohu,Olive barb/Barb,Sauri,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.,.,.,.
30112022,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
1122022,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
2122022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
3122022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,Zig-zag eel,Needle fish,Rupchanda/Pacu,.,.
4122022,Reba,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,.,.,.,.,.,.,.,.,.,.
5122022,Reba,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Tengara,Striped dwarf catfish,.,.,.,.,.,.,.,.
6122022,Common carp,Bata,Kalmansh,Catla,Rohu,Olive barb/Barb,Sauri,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.,.,.,.
7122022,Grass carp,Common carp,Kalmansh,Catla,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Mangur,Singhi,Pangas/ Silan,Patasi,Striped dwarf catfish,Rita,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
8122022,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
9122022,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
10122022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
11122022,Reba,Common carp,Knifefish/moi,Kalmansh,Catla,Barb,Mourala,Chanda,Mangur,Singhi,Pangas/ Silan,Patasi,Palwa ,Indian spiny eel,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.,.,.
12122022,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
13122022,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
14122022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
15122022,Reba,Silver carp,Grass carp,Common carp,Knifefish/moi,Kalmansh,Catla,Naini/ Mrigal,Rohu,Barb,Mourala,Sauri,Chanda,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Rita,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.
16122022,Reba,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,.,.,.,.,.,.,.,.,.,.
17122022,Reba,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Tengara,Striped dwarf catfish,.,.,.,.,.,.,.,.
18122022,Common carp,Bata,Kalmansh,Catla,Rohu,Olive barb/Barb,Sauri,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.,.,.,.
19122022,Silver carp,Grass carp,Common carp,Knifefish/moi,Catla,Naini/ Mrigal,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Suiya,Lesser spiny eel,Rupchanda/Pacu,.,.,.,.,.
20122022,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
21122022,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
22122022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
23122022,Reba,Grass carp,Common carp,Knifefish/moi,Bata,Catla,Naini/ Mrigal,Barb,Bighead/wicket,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Rupchanda/Pacu,.,.,.,.,.,.,.
24122022,Reba,Silver carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mangur,Pangas/ Silan,Patasi,Striped dwarf catfish,Rita,Boyali/boyari,Suiya,Indian spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.,.,.
25122022,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,.,.,.,.,.,.,.
26122022,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,.,.,.,.,.,.,.
27122022,Grass carp,Common carp,Bata,Kalmansh,Naini/ Mrigal,Rohu,Barb,Bighead/wicket,Sauri,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Striped dwarf catfish,Palwa ,Needle fish,Rupchanda/Pacu,.,.,.,.,.,.
28122022,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
29122022,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
30122022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
31122022,Grass carp,Common carp,Bata,Kalmansh,Catla,Naini/ Mrigal,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Striped dwarf catfish,Palwa ,Rita,Suiya,Lesser spiny eel,Needle fish,Rupchanda/Pacu
1012023,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
2012023,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
3012023,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
4012023,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Sauri,Chanda,Indian glassfish,Mangur,Pangas/ Silan,Patasi,Suiya,Needle fish,Rupchanda/Pacu,.,.,.,.,.,.,.,.
5012023,Reba,Silver carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mangur,Pangas/ Silan,Patasi,Striped dwarf catfish,Rita,Boyali/boyari,Suiya,Indian spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.,.,.
6012023,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,.,.,.,.,.,.,.
7012023,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,.,.,.,.,.,.,.
8012023,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,Zig-zag eel,Needle fish,Rupchanda/Pacu,.,.
9012023,Silver carp,Grass carp,Common carp,Bata,Catla,Barb,Mourala,Indian glassfish,Mangur,Patasi,Tengara,Palwa ,Rita,Boyali/boyari,Indian spiny eel,Lesser spiny eel,Needle fish,Rupchanda/Pacu,.,.,.,.,.,.
10012023,Reba,Silver carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mangur,Pangas/ Silan,Patasi,Striped dwarf catfish,Rita,Boyali/boyari,Suiya,Indian spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.,.,.
11012023,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,.,.,.,.,.,.,.
12012023,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,.,.,.,.,.,.,.
13012023,Reba,Silver carp,Grass carp,Common carp,Knifefish/moi,Catla,Naini/ Mrigal,Rohu,Barb,Mourala,Sauri,Chanda,Mangur,Singhi,Patasi,Boyali/boyari,Suiya,Indian spiny eel,Needle fish,Rupchanda/Pacu,.,.,.,.
14012023,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
15012023,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
16012023,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
17012023,Silver carp,Common carp,Knifefish/moi,Bata,Catla,Barb,Sauri,Indian glassfish,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Rita,Boyali/boyari,Indian spiny eel,Zig-zag eel,Needle fish,Rupchanda/Pacu,.,.,.,.,.
18012023,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,Zig-zag eel,Needle fish,Rupchanda/Pacu,.,.
19012023,Reba,Silver carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mangur,Pangas/ Silan,Patasi,Striped dwarf catfish,Rita,Boyali/boyari,Suiya,Indian spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.,.,.
20012023,Silver carp,Grass carp,Common carp,Catla,Naini/ Mrigal,Rohu,Olive barb/Barb,Chanda,Mangur,Singhi,Pangas/ Silan,Patasi,Rita,Suiya,Indian spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.,.,.
21012023,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,Zig-zag eel,Needle fish,Rupchanda/Pacu,.,.
22012023,Reba,Silver carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mangur,Pangas/ Silan,Patasi,Striped dwarf catfish,Rita,Boyali/boyari,Suiya,Indian spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.,.,.
23012023,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
24012023,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
25012023,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
26012023,Reba,Silver carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mangur,Pangas/ Silan,Patasi,Striped dwarf catfish,Rita,Boyali/boyari,Suiya,Indian spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.,.,.
27012023,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,.,.,.,.,.,.,.
28012023,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,.,.,.,.,.,.,.
29012023,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
30012023,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
31012023,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,.,.,.,.,.
